zona,quartos,area,preco
sul,2,60,1.200
sul,2,45,1.600
sul,3,85,2.600
sul,3,80,1.300
sul,1,21,785
sul,1,70,1.200
sul,1,28,1.000
sul,1,100,550
sul,1,50,1.500
sul,6,75,2.800
sul,2,60,1.200
sul,,160,4.000
sul,2,75,1.400
sul,2,40,1.280
sul,2,141,2.800
sul,1,40,750
sul,5,600,12.000
sul,2,70,1.200
sul,3,325,17.500
sul,1,40,850
sul,5,550,8.000
sul,4,210,6.943
sul,1,90,1.250
sul,4,580,8.000
sul,2,45,1.600
sul,2,97,3.100
sul,5,410,30.000
leste,2,53,1.500
leste,2,60,1.500
leste,2,70,800
leste,2,120,1.600
leste,1,32,500
leste,3,130,2.000
leste,2,47,1.208
leste,1,56,1.000
leste,1,60,700
leste,1,42,980
leste,3,240,3.000
leste,2,80,2.100
leste,1,10,680
leste,3,147,2.500
leste,3,200,2.800
leste,3,480,8.000
leste,3,200,8.000
leste,3,317,2.500
leste,1,70,1.300
leste,2,70,1.700
leste,1,40,850
leste,2,180,2.000
leste,3,97,1.950
leste,2,60,1.600
leste,1,10,800
leste,2,80,1.300
leste,1,43,1.100
leste,2,55,900
leste,2,100,1.300
leste,1,45,750
leste,1,50,900
leste,2,50,1.100
leste,2,80,1.200
leste,2,100,1.300
leste,1,45,900
leste,1,40,1.000
leste,2,60,1.100
leste,2,80,1.250
leste,2,70,1.200
leste,2,100,1.600
leste,,100,2.500
leste,2,110,2.000
leste,4,250,3.000
leste,3,142,2.300
leste,2,140,1.900
leste,2,100,1.500
leste,1,50,850
leste,2,80,1.400
leste,1,35,700
leste,2,120,1.800
leste,2,90,1.500
leste,3,106,2.500
leste,2,90,1.100
leste,3,90,1.800
leste,2,60,1.250
leste,2,56,750
leste,3,55,1.500
leste,2,60,1.500
leste,1,37,650
leste,4,130,2.000
leste,1,25,585
leste,2,35,800
leste,1,,300
leste,2,95,900
leste,1,,500
leste,2,50,1.150
leste,3,98,950
leste,2,60,1.000
leste,1,,1.000
leste,2,,1.100
leste,2,,1.000
leste,2,50,900
leste,1,40,550
leste,1,60,1.100
leste,2,70,2.000
leste,4,273,2.500
leste,,330,16.000
leste,3,300,3.500
leste,3,70,1.300
leste,4,250,9.800
leste,5,,7.000
leste,3,155,2.650
leste,2,,1.200
leste,1,50,1.000
leste,4,323,8.000
leste,3,155,2.600
leste,2,90,1.000
leste,2,60,1.400
leste,2,90,1.750
leste,1,,650
leste,1,45,1.300
leste,2,90,1.300
leste,2,70,1.300
leste,4,180,4.700
leste,3,80,1.200
leste,2,55,1.300
leste,2,70,1.200
leste,2,95,1.100
leste,3,209,2.000
leste,3,120,2.400
leste,2,90,1.850
leste,3,100,2.500
leste,3,210,3.000
leste,2,100,2.000
leste,2,,1.350
leste,2,80,1.250
leste,2,130,1.180
leste,,311,10.000
leste,2,89,2.230
leste,2,60,1.300
leste,2,70,1.300
leste,3,192,4.000
leste,2,80,1.800
leste,2,220,2.580
leste,,,5.000
leste,2,150,1.600
leste,1,50,1.250
leste,2,120,2.000
leste,2,130,2.000
leste,2,70,1.200
leste,5,280,4.000
leste,2,70,1.000
leste,1,,600
leste,2,160,4.500
leste,3,200,2.500
leste,4,150,2.600
leste,3,110,2.500
leste,3,120,3.000
leste,1,40,800
leste,3,148,5.000
leste,7,150,6.000
leste,3,145,2.500
leste,3,125,2.450
leste,3,110,2.500
leste,3,208,6.000
leste,3,170,5.000
leste,3,300,2.500
leste,2,95,3.200
leste,3,183,6.000
leste,2,60,1.400
leste,2,60,1.300
leste,2,125,1.900
leste,2,100,1.800
leste,2,,1.400
leste,2,58,1.300
leste,2,50,1.300
leste,1,50,880
leste,1,,950
leste,2,85,1.600
leste,3,180,3.000
leste,2,42,1.400
leste,2,,890
leste,2,48,1.800
leste,1,70,1.150
leste,1,50,1.050
leste,2,50,1.300
leste,2,60,2.000
leste,2,75,1.300
leste,1,10,800
leste,,270,7.000
leste,1,50,1.000
leste,1,10,600
leste,2,30,1.500
leste,3,50,7.000
leste,,270,7.000
leste,2,100,1.800
leste,4,240,7.999
leste,2,10,1.200
leste,2,5,1.400
leste,2,64,1.300
leste,1,30,1.300
leste,2,70,950
leste,1,40,900
leste,1,75,1.300
leste,1,60,800
leste,1,10,750
leste,2,150,1.400
leste,2,40,1.000
leste,1,,670
leste,2,64,900
leste,2,35,850
leste,1,150,700
leste,3,60,1.300
leste,2,100,3.000
leste,,150,3.000
leste,3,155,2.600
leste,3,280,7.000
leste,3,400,7.850
leste,,250,7.000
leste,3,246,7.000
leste,3,225,7.000
leste,4,310,7.000
leste,3,166,1.500
leste,4,310,7.000
leste,2,79,1.600
leste,3,340,7.000
leste,1,50,450
leste,1,45,900
leste,3,454,7.500
leste,2,90,1.500
leste,3,300,3.950
leste,3,275,7.500
leste,2,292,7.800
leste,3,300,3.800
leste,3,,6.000
leste,1,55,900
leste,2,,900
leste,1,300,7.500
leste,2,85,1.500
leste,,210,2.500
leste,2,192,6.000
leste,2,86,1.500
leste,2,80,1.650
leste,2,100,1.800
leste,2,120,1.600
leste,5,520,8.000
leste,3,130,2.200
leste,2,,1.600
leste,2,150,1.650
leste,,70,1.200
leste,1,70,1.200
leste,2,60,1.200
leste,1,52,900
leste,1,,700
leste,1,150,850
leste,2,45,800
leste,2,,1.100
leste,3,500,7.100
leste,2,400,7.000
leste,1,78,800
leste,1,45,1.200
leste,2,52,1.300
leste,1,25,700
leste,1,30,750
leste,2,95,1.800
leste,3,325,4.000
leste,3,150,1.350
leste,1,,690
leste,1,98,600
leste,1,70,900
leste,2,55,850
leste,2,85,1.200
leste,1,,850
leste,2,100,1.300
leste,1,20,400
leste,1,50,700
leste,5,340,7.550
leste,2,47,1.400
leste,3,250,3.900
leste,1,50,850
leste,3,100,1.900
leste,3,110,1.050
leste,2,35,700
leste,2,50,790
leste,2,70,1.300
leste,2,70,1.300
leste,3,65,850
leste,1,40,600
leste,1,35,850
leste,1,40,550
leste,1,30,850
leste,1,25,950
leste,1,,1.600
leste,3,190,7.500
leste,1,65,900
leste,2,40,900
leste,1,20,630
leste,2,48,1.100
leste,1,28,650
leste,3,100,1.400
leste,1,40,1.400
leste,1,150,1.000
leste,2,170,2.000
leste,2,80,1.800
leste,1,48,1.000
leste,3,,2.000
leste,5,305,8.000
leste,3,,1.500
leste,1,20,1.100
leste,1,60,1.000
leste,2,,1.100
leste,1,,950
leste,1,,1.430
leste,3,120,2.000
leste,2,,1.200
leste,1,,950
leste,1,,900
leste,,340,7.000
leste,1,,900
leste,,340,7.000
leste,2,58,1.200
leste,3,600,7.000
leste,1,,800
leste,2,150,1.600
leste,2,80,900
leste,2,80,1.200
leste,,35,600
leste,2,80,1.300
leste,1,1,650
leste,2,56,750
leste,1,40,500
leste,1,30,600
leste,1,,600
leste,2,45,1.100
leste,2,65,1.200
leste,2,50,800
leste,2,50,800
leste,2,80,1.000
leste,1,65,1.200
leste,1,40,700
leste,,70,1.700
leste,1,,550
leste,2,45,1.000
leste,2,64,900
leste,2,100,750
leste,1,40,550
leste,1,35,1.000
leste,2,60,1.200
leste,3,140,1.800
leste,2,50,900
leste,1,70,900
leste,1,25,650
leste,1,,550
leste,3,90,1.200
leste,1,35,700
leste,1,40,550
leste,1,60,750
leste,1,50,600
leste,3,,1.600
leste,2,60,900
leste,2,80,1.600
leste,3,106,2.000
leste,1,25,450
leste,1,35,800
leste,2,130,1.500
leste,3,80,1.200
oeste,3,230,2.200
oeste,3,202,8.000
oeste,3,204,2.900
oeste,2,90,2.399
oeste,1,42,950
oeste,1,40,850
oeste,4,600,26.500
oeste,1,42,1.000
oeste,4,269,8.000
oeste,5,417,12.000
oeste,1,16,450
oeste,,30,1.250
oeste,2,90,1.800
oeste,3,180,9.500
oeste,2,,1.600
oeste,,250,15.000
oeste,,20,500
oeste,1,40,1.250
oeste,1,32,800
oeste,2,120,1.700
oeste,2,60,850
oeste,3,160,2.800
oeste,2,190,12.000
oeste,1,47,1.100
oeste,1,35,1.100
oeste,2,110,2.200
oeste,2,250,1.600
oeste,4,191,11.000
oeste,2,60,1.300
oeste,2,317,1.400
oeste,2,100,1.700
oeste,3,150,6.500
oeste,4,300,14.990
oeste,3,400,3.500
oeste,4,450,9.900
oeste,3,180,2.500
oeste,4,198,6.600
oeste,3,198,6.200
oeste,3,182,5.000
oeste,1,35,900
oeste,4,,5.000
oeste,2,100,2.650
oeste,4,300,3.500
oeste,3,100,2.000
oeste,1,40,800
oeste,5,230,30.000
oeste,3,98,3.500
oeste,2,90,2.000
oeste,2,70,1.200
oeste,3,150,3.800
oeste,,300,22.000
oeste,5,500,28.000
oeste,2,50,1.100
oeste,2,100,3.500
oeste,3,140,3.100
oeste,4,480,7.000
oeste,2,84,2.700
oeste,,300,22.000
oeste,1,50,800
oeste,,230,8.000
oeste,1,31,850
oeste,,40,1.200
oeste,2,,1.500
oeste,2,200,1.500
oeste,3,200,2.900
oeste,4,220,7.500
oeste,3,220,2.800
oeste,3,250,2.200
oeste,5,200,4.500
oeste,2,100,3.500
oeste,3,250,12.000
oeste,2,200,4.500
oeste,2,90,1.650
oeste,,169,4.300
oeste,2,50,1.000
oeste,,570,9.000
oeste,1,60,1.300
oeste,3,100,3.000
oeste,1,60,1.300
oeste,1,30,790
oeste,5,,2.500
oeste,4,,5.000
oeste,4,560,6.000
oeste,1,40,700
oeste,1,60,2.200
oeste,,120,5.500
oeste,3,190,10.500
oeste,,134,14.000
oeste,2,100,1.000
oeste,1,40,800
oeste,2,72,1.100
oeste,3,400,7.000
oeste,2,90,1.200
oeste,,150,7.500
oeste,,230,7.500
oeste,,400,7.000
oeste,,230,7.500
oeste,3,274,7.500
oeste,3,219,2.300
oeste,,150,7.000
oeste,3,160,2.800
oeste,,240,7.500
oeste,5,230,30.000
oeste,5,150,5.000
oeste,5,500,28.000
oeste,1,25,1.200
oeste,2,150,7.500
oeste,,300,22.000
oeste,3,110,1.800
oeste,2,120,2.200
oeste,3,160,3.400
oeste,2,150,2.200
oeste,3,125,1.800
oeste,3,58,1.850
oeste,2,120,2.200
oeste,3,120,2.400
oeste,3,120,2.100
oeste,3,100,1.800
oeste,3,180,3.500
oeste,,186,7.000
oeste,2,90,2.100
oeste,3,160,3.500
oeste,4,433,7.000
oeste,3,180,3.500
oeste,2,60,1.200
oeste,,500,25.000
oeste,1,35,650
oeste,3,250,2.700
oeste,3,300,6.500
oeste,2,242,4.500
oeste,2,170,1.850
oeste,3,150,2.800
oeste,1,60,800
oeste,,,1.500
oeste,3,230,30.000
oeste,3,350,18.500
oeste,1,35,850
oeste,2,70,1.100
oeste,1,30,700
oeste,2,40,750
oeste,3,60,900
oeste,2,380,750
oeste,3,140,550
oeste,1,50,650
oeste,1,40,1.100
oeste,1,20,300
oeste,1,30,900
oeste,1,35,900
oeste,1,30,800
oeste,1,45,700
oeste,2,50,700
oeste,1,25,850
oeste,1,50,500
oeste,2,80,1.600
oeste,1,25,550
oeste,5,110,2.900
oeste,1,40,600
oeste,3,150,2.300
oeste,3,100,1.400
oeste,1,70,800
oeste,2,80,1.350
oeste,1,50,900
oeste,1,30,700
oeste,2,100,1.800
oeste,1,39,950
oeste,2,60,1.350
oeste,1,30,700
oeste,1,60,700
oeste,1,30,800
oeste,1,77,1.700
oeste,2,50,1.500
oeste,1,30,700
oeste,2,90,1.300
oeste,2,50,800
oeste,2,200,3.000
oeste,3,40,2.300
oeste,1,220,600
oeste,2,147,2.000
oeste,3,250,3.200
oeste,2,120,2.400
oeste,3,250,3.200
oeste,3,180,3.000
oeste,2,65,1.000
oeste,3,230,2.200
oeste,1,40,950
oeste,2,35,850
oeste,2,101,1.750
oeste,3,110,2.500
oeste,1,30,730
oeste,2,100,2.000
oeste,1,65,920
oeste,2,90,1.800
oeste,1,36,1.200
oeste,3,165,2.500
oeste,3,185,2.900
oeste,2,80,1.400
oeste,2,147,2.650
oeste,2,100,1.200
oeste,4,200,3.500
oeste,,160,5.000
oeste,1,70,1.200
oeste,5,450,6.000
oeste,3,180,15.000
oeste,3,120,2.800
oeste,3,180,6.800
oeste,3,150,2.800
oeste,2,100,2.000
oeste,2,110,1.840
oeste,3,350,6.500
oeste,,150,7.500
oeste,4,520,12.000
oeste,,336,7.500
oeste,5,570,20.000
oeste,1,60,1.200
oeste,4,297,15.500
oeste,3,161,1.500
oeste,4,450,6.000
oeste,,400,15.000
oeste,,87,5.600
oeste,4,641,9.000
oeste,1,50,1.100
oeste,,240,7.500
oeste,4,400,8.000
oeste,1,40,1.300
oeste,3,450,8.500
oeste,3,196,3.800
oeste,3,250,12.500
oeste,,280,9.500
oeste,2,50,3.000
oeste,4,150,4.500
oeste,2,45,1.500
oeste,4,490,11.000
oeste,3,180,5.000
oeste,1,75,3.500
oeste,4,350,6.000
oeste,,300,22.000
oeste,5,300,4.000
oeste,4,600,15.000
oeste,4,280,13.000
oeste,2,80,1.550
oeste,2,195,1.800
oeste,4,500,6.000
oeste,3,450,5.000
oeste,4,378,9.000
oeste,,155,2.990
oeste,,310,12.000
oeste,4,170,5.500
oeste,4,524,50.000
oeste,4,400,7.500
oeste,4,200,3.200
oeste,2,60,950
oeste,3,188,8.000
oeste,4,200,14.500
oeste,4,340,5.150
oeste,3,200,5.000
oeste,3,84,2.500
oeste,4,500,7.000
oeste,4,540,7.800
oeste,3,200,12.000
oeste,4,"1,100",35.000
oeste,6,396,50.000
oeste,3,180,3.300
oeste,4,359,16.000
oeste,2,60,1.350
oeste,3,347,12.000
oeste,17,600,45.000
oeste,5,300,26.000
oeste,,240,6.000
oeste,4,250,7.000
oeste,5,300,15.000
oeste,,130,4.500
oeste,12,481,25.000
oeste,2,320,10.000
oeste,4,890,55.000
oeste,,240,6.000
oeste,4,600,25.000
oeste,,520,28.000
oeste,4,460,18.000
oeste,3,300,16.000
oeste,3,108,4.250
oeste,3,84,2.500
oeste,4,491,24.000
oeste,5,373,10.000
oeste,4,450,16.000
oeste,,186,11.000
oeste,6,815,25.000
oeste,3,212,6.200
oeste,4,190,7.300
oeste,2,425,26.000
oeste,8,695,20.980
oeste,4,456,18.000
oeste,3,325,14.000
oeste,4,310,30.000
oeste,3,212,5.900
oeste,5,490,10.000
oeste,4,298,17.000
oeste,2,200,10.000
oeste,3,250,17.000
oeste,,616,90.000
oeste,3,187,2.000
oeste,3,250,4.500
oeste,1,30,950
oeste,6,376,11.000
oeste,4,500,6.000
oeste,4,260,7.900
